id,nome,população
Inimutaba,Inimutaba,7371
Ipaba,Ipaba,17136
Ipanema,Ipanema,5181
Ipatinga,Ipatinga,227731
Ipiaçu,Ipiaçu,3775
Ipuiúna,Ipuiúna,7672
Iraí de Minas,Iraí de Minas,7180
Itabira,Itabira,113343
Itabirinha,Itabirinha,10362
Itabirito,Itabirito,37901
Itacambira,Itacambira,4252
Itacarambi,Itacarambi,17208
Itaguara,Itaguara,13846
Itaipé,Itaipé,10463
Itajubá,Itajubá,19975
Itamarandiba,Itamarandiba,32948
Itamarati de Minas,Itamarati de Minas,3690
Itambacuri,Itambacuri,21042
Itambé do Mato Dentro,Itambé do Mato Dentro,18840
Itamogi,Itamogi,10770
Itamonte,Itamonte,14786
Itanhandu,Itanhandu,15236
Itanhomi,Itanhomi,11128
Itaobim,Itaobim,19151
Itapagipe,Itapagipe,13690
Itapecerica,Itapecerica,21046
Itapeva,Itapeva,9881
Itatiaiuçu,Itatiaiuçu,6969
Itaverava,Itaverava,5642
Itaú de Minas,Itaú de Minas,14406
Itaúna,Itaúna,97669
Itinga,Itinga,4633
Itueta,Itueta,5641
Ituiutaba,Ituiutaba,102217
Itumirim,Itumirim,5978
Iturama,Iturama,38295
Itutinga,Itutinga,4217
Jaboticatubas,Jaboticatubas,20406
Jacinto,Jacinto,11042
Jacutinga,Jacutinga,25525
Jacuí,Jacuí,7495
Jaguaraçu,Jaguaraçu,3092
Jampruca,Jampruca,4296
Janaúba,Janaúba,70699
Januária,Januária,63605
Japaraíba,Japaraíba,3473
Japonvar,Japonvar,2158
Jaíba,Jaíba,37660
Jeceaba,Jeceaba,6197
Jenipapo de Minas,Jenipapo de Minas,6100
Jequeri,Jequeri,12419
Jequitaí,Jequitaí,5780
Jequitibá,Jequitibá,5883
Jequitinhonha,Jequitinhonha,22902
Jesuânia,Jesuânia,5138
Joanésia,Joanésia,4329
Joaquim Felício,Joaquim Felício,3854
Joaíma,Joaíma,13888
Jordânia,Jordânia,10304
Josenópolis,Josenópolis,3630
José Gonçalves de Minas,José Gonçalves de Minas,3969
José Raydan,José Raydan,4268
João Monlevade,João Monlevade,10600
João Pinheiro,João Pinheiro,46801
Juatuba,Juatuba,30716
Juiz de Fora,Juiz de Fora,540756
Juramento,Juramento,3768
Juruaia,Juruaia,11084
Juvenília,Juvenília,5789
Ladainha,Ladainha,14383
Lagamar,Lagamar,6631
Lagoa Dourada,Lagoa Dourada,12769
Lagoa Formosa,Lagoa Formosa,18904
Lagoa Grande,Lagoa Grande,8969
Lagoa Santa,Lagoa Santa,75145
Lagoa da Prata,Lagoa da Prata,51412
Lagoa dos Patos,Lagoa dos Patos,3313
Lajinha,Lajinha,20835
Lambari,Lambari,20414
Lamim,Lamim,3184
Laranjal,Laranjal,17479
Lassance,Lassance,7124
Lavras,Lavras,104761
Leandro Ferreira,Leandro Ferreira,3199
Leme do Prado,Leme do Prado,4341
Leopoldina,Leopoldina,51145
Liberdade,Liberdade,4737
Lima Duarte,Lima Duarte,17221
Limeira do Oeste,Limeira do Oeste,8687
Lontra,Lontra,8790
Luisburgo,Luisburgo,6956
Luislândia,Luislândia,6210
Luminárias,Luminárias,3282
Luz,Luz,18257
Machacalis,Machacalis,6487
Machado,Machado,37684
Madre de Deus de Minas,Madre de Deus de Minas,5191
Malacacheta,Malacacheta,17516
Mamonas,Mamonas,5997
Manga,Manga,18886
Manhuaçu,Manhuaçu,3828
Manhumirim,Manhumirim,20025
Mantena,Mantena,26535
Mar de Espanha,Mar de Espanha,12721
Maravilhas,Maravilhas,7333
Maria da Fé,Maria da Fé,14247
Mariana,Mariana,86619
Marilac,Marilac,4224
Maripá de Minas,Maripá de Minas,3387
Marliéria,Marliéria,4592
Marmelópolis,Marmelópolis,3200
Martinho Campos,Martinho Campos,14003
Martins Soares,Martins Soares,8396
Mata Verde,Mata Verde,7085
Materlândia,Materlândia,3963
Mateus Leme,Mateus Leme,37841
Mathias Lobato,Mathias Lobato,3038
Matias Barbosa,Matias Barbosa,14121
Matias Cardoso,Matias Cardoso,8895
Matipó,Matipó,18552
Mato Verde,Mato Verde,12038
Matozinhos,Matozinhos,37618
Matutina,Matutina,3814
Medeiros,Medeiros,3900
Medina,Medina,20156
Mendes Pimentel,Mendes Pimentel,5606
Mercês,Mercês,10373
Mesquita,Mesquita,5040
Minas Novas,Minas Novas,24405
Minduri,Minduri,3741
Mirabela,Mirabela,13651
Miradouro,Miradouro,8968
Miravânia,Miravânia,3985
Miraí,Miraí,13633
Moeda,Moeda,5125
Moema,Moema,7548
Monjolos,Monjolos,2169
Monsenhor Paulo,Monsenhor Paulo,8340
Montalvânia,Montalvânia,14060
Monte Alegre de Minas,Monte Alegre de Minas,20170
Monte Azul,Monte Azul,20328
Monte Belo,Monte Belo,13046
Monte Carmelo,Monte Carmelo,43899
Monte Formoso,Monte Formoso,4381
Monte Santo de Minas,Monte Santo de Minas,20890
Monte Sião,Monte Sião,24089
Montes Claros,Montes Claros,306947
Montezuma,Montezuma,6888
Morada Nova de Minas,Morada Nova de Minas,7606
Morro da Garça,Morro da Garça,2411
Morro do Pilar,Morro do Pilar,3133
Munhoz,Munhoz,7451
Muriaé,Muriaé,104108
Mutum,Mutum,2684
Muzambinho,Muzambinho,21891
Mário Campos,Mário Campos,713224
Nacip Raydan,Nacip Raydan,2459
Nanuque,Nanuque,706597
Naque,Naque,6303
Natalândia,Natalândia,3520
Natércia,Natércia,4691
Nazareno,Nazareno,8179
Nepomuceno,Nepomuceno,25018
Ninheira,Ninheira,10588
Nova Belém,Nova Belém,3151
Nova Era,Nova Era,17438
Nova Lima,Nova Lima,111697
Nova Módica,Nova Módica,3663
Nova Ponte,Nova Ponte,14598
Nova Porteirinha,Nova Porteirinha,6706
Nova Resende,Nova Resende,16387
Nova Serrana,Nova Serrana,105552
